MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022b (9.13.0.2049777) 64-bit (glnxa64)
                              August 24, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to the parallel pool (number of workers: 12).
Job number 56 of 200 done! Time = 0.604901 s
Job number 55 of 200 done! Time = 0.567866 s
Job number 64 of 200 done! Time = 0.606696 s
Job number 63 of 200 done! Time = 0.499144 s
Job number 72 of 200 done! Time = 0.604514 s
Job number 71 of 200 done! Time = 0.570894 s
Job number 80 of 200 done! Time = 0.637266 s
Job number 79 of 200 done! Time = 0.589773 s
Job number 88 of 200 done! Time = 0.620761 s
Job number 87 of 200 done! Time = 0.566147 s
Job number 96 of 200 done! Time = 0.611536 s
Job number 95 of 200 done! Time = 0.471447 s
Job number 104 of 200 done! Time = 0.635909 s
Job number 103 of 200 done! Time = 0.630178 s
Job number 14 of 200 done! Time = 0.552314 s
Job number 13 of 200 done! Time = 0.559204 s
Job number 22 of 200 done! Time = 0.54237 s
Job number 21 of 200 done! Time = 0.556796 s
Job number 30 of 200 done! Time = 0.565444 s
Job number 29 of 200 done! Time = 0.571318 s
Job number 38 of 200 done! Time = 0.526753 s
Job number 37 of 200 done! Time = 0.44772 s
Job number 46 of 200 done! Time = 0.443771 s
Job number 45 of 200 done! Time = 0.437303 s
Job number 54 of 200 done! Time = 0.553348 s
Job number 53 of 200 done! Time = 0.560625 s
Job number 62 of 200 done! Time = 0.443954 s
Job number 61 of 200 done! Time = 0.455416 s
Job number 70 of 200 done! Time = 0.576352 s
Job number 69 of 200 done! Time = 0.566968 s
Job number 78 of 200 done! Time = 0.573652 s
Job number 77 of 200 done! Time = 0.606066 s
Job number 86 of 200 done! Time = 0.56322 s
Job number 85 of 200 done! Time = 0.572219 s
Job number 94 of 200 done! Time = 0.443446 s
Job number 93 of 200 done! Time = 0.453905 s
Job number 102 of 200 done! Time = 0.602546 s
Job number 101 of 200 done! Time = 0.596881 s
Job number 132 of 200 done! Time = 0.55731 s
Job number 131 of 200 done! Time = 0.478036 s
Job number 136 of 200 done! Time = 0.547402 s
Job number 135 of 200 done! Time = 0.551275 s
Job number 120 of 200 done! Time = 0.560651 s
Job number 119 of 200 done! Time = 0.445834 s
Job number 140 of 200 done! Time = 0.44721 s
Job number 139 of 200 done! Time = 0.571702 s
Job number 152 of 200 done! Time = 0.545949 s
Job number 151 of 200 done! Time = 0.539408 s
Job number 148 of 200 done! Time = 0.469542 s
Job number 147 of 200 done! Time = 0.441085 s
Job number 146 of 200 done! Time = 0.441613 s
Job number 124 of 200 done! Time = 0.556885 s
Job number 123 of 200 done! Time = 0.451993 s
Job number 128 of 200 done! Time = 0.573636 s
Job number 127 of 200 done! Time = 0.541631 s
Job number 116 of 200 done! Time = 0.460188 s
Job number 115 of 200 done! Time = 0.440852 s
Job number 114 of 200 done! Time = 0.441042 s
Job number 156 of 200 done! Time = 0.665473 s
Job number 155 of 200 done! Time = 0.444434 s
Job number 138 of 200 done! Time = 0.547255 s
Job number 137 of 200 done! Time = 0.543219 s
Job number 145 of 200 done! Time = 0.437538 s
Job number 144 of 200 done! Time = 0.6062 s
Job number 143 of 200 done! Time = 0.588018 s
Job number 113 of 200 done! Time = 0.44734 s
Job number 112 of 200 done! Time = 0.578424 s
Job number 111 of 200 done! Time = 0.584684 s
Job number 130 of 200 done! Time = 0.439222 s
Job number 129 of 200 done! Time = 0.443665 s
Job number 134 of 200 done! Time = 0.560413 s
Job number 133 of 200 done! Time = 0.545464 s
Job number 118 of 200 done! Time = 0.431915 s
Job number 117 of 200 done! Time = 0.436067 s
Job number 154 of 200 done! Time = 0.435359 s
Job number 153 of 200 done! Time = 0.445755 s
Job number 150 of 200 done! Time = 0.42989 s
Job number 149 of 200 done! Time = 0.437974 s
Job number 160 of 200 done! Time = 0.441993 s
Job number 159 of 200 done! Time = 0.445481 s
Job number 122 of 200 done! Time = 0.436337 s
Job number 121 of 200 done! Time = 0.44169 s
Job number 126 of 200 done! Time = 0.541774 s
Job number 125 of 200 done! Time = 0.550955 s
Job number 158 of 200 done! Time = 0.451547 s
Job number 157 of 200 done! Time = 0.453641 s
Job number 162 of 200 done! Time = 0.557877 s
Job number 161 of 200 done! Time = 0.555459 s
Job number 142 of 200 done! Time = 0.560967 s
Job number 141 of 200 done! Time = 0.559996 s
Job number 110 of 200 done! Time = 0.578137 s
Job number 109 of 200 done! Time = 0.587886 s
Job number 166 of 200 done! Time = 0.656969 s
Job number 165 of 200 done! Time = 0.439301 s
Job number 168 of 200 done! Time = 0.601795 s
Job number 167 of 200 done! Time = 0.557054 s
Job number 174 of 200 done! Time = 0.588305 s
Job number 173 of 200 done! Time = 0.56436 s
Job number 164 of 200 done! Time = 0.464349 s
Job number 163 of 200 done! Time = 0.444255 s
Job number 183 of 200 done! Time = 0.567789 s
Job number 170 of 200 done! Time = 0.781351 s
Job number 181 of 200 done! Time = 0.787386 s
Job number 176 of 200 done! Time = 0.773387 s
Job number 172 of 200 done! Time = 0.758149 s
Job number 184 of 200 done! Time = 0.448077 s
Job number 189 of 200 done! Time = 0.564533 s
Job number 185 of 200 done! Time = 0.562739 s
Job number 188 of 200 done! Time = 0.512293 s
Job number 196 of 200 done! Time = 0.442271 s
Job number 169 of 200 done! Time = 0.55938 s
Job number 191 of 200 done! Time = 0.555237 s
Job number 175 of 200 done! Time = 0.554695 s
Job number 180 of 200 done! Time = 0.568399 s
Job number 179 of 200 done! Time = 0.561956 s
Job number 171 of 200 done! Time = 0.553504 s
Job number 182 of 200 done! Time = 0.785484 s
Job number 178 of 200 done! Time = 0.644776 s
Job number 177 of 200 done! Time = 0.556988 s
Job number 198 of 200 done! Time = 0.499336 s
Job number 195 of 200 done! Time = 0.779269 s
Job number 186 of 200 done! Time = 0.562422 s
Job number 200 of 200 done! Time = 0.4261 s
Job number 187 of 200 done! Time = 0.556171 s
Job number 194 of 200 done! Time = 0.60409 s
Job number 190 of 200 done! Time = 0.558911 s
Job number 192 of 200 done! Time = 0.554057 s
Job number 199 of 200 done! Time = 0.777398 s
Job number 197 of 200 done! Time = 0.823632 s
Job number 193 of 200 done! Time = 0.814683 s
Total time elapsed: 56.523 s, time per job: [Warning: MATLAB has disabled some advanced graphics rendering features by
switching to software OpenGL. For more information, click <a
href="matlab:opengl('problems')">here</a>.] 
